footprint,nstories,buildingheight,eraBuilt,garageExists
"POLYGON ((37.2374997 37.1782898, 37.2376551 37.1782653, 37.2376221 37.1781325, 37.2374667 37.178157, 37.2374997 37.1782898))",,,N/A,
"POLYGON ((37.3548892 37.0523129, 37.3549605 37.0522326, 37.3550148 37.0522633, 37.3550298 37.0522464, 37.355054 37.05226, 37.3550989 37.0522095, 37.3551522 37.0522396, 37.3551453 37.0522474, 37.3551898 37.0522726, 37.3551606 37.0523056, 37.3551328 37.0522899, 37.3550378 37.0523969, 37.3548892 37.0523129))",2,48.6,Pre-1970,False
"POLYGON ((37.573613 36.7974341, 37.573677 36.7973365, 37.5738094 36.7973923, 37.5737453 36.7974899, 37.573613 36.7974341))",,,N/A,
"POLYGON ((37.4120004 36.9287164, 37.4119071 36.9287081, 37.4119171 36.9286366, 37.4120025 36.9286442, 37.4119993 36.9286664, 37.4120073 36.9286671, 37.4120004 36.9287164))",1,30.2,Pre-1970,True
"POLYGON ((37.375663 37.0809795, 37.3756627 37.080962, 37.3756703 37.0809623, 37.3756706 37.0809807, 37.375663 37.0809795))",4,84.5,Pre-1970,False
"POLYGON ((37.3803958 37.0860169, 37.380377 37.0860736, 37.3804879 37.086097, 37.3805098 37.0860307, 37.380438 37.0860156, 37.3804348 37.0860251, 37.3803958 37.0860169))",2,37.6,Pre-1970,True
"POLYGON ((37.349503 37.0369481, 37.3495911 37.0369401, 37.3495888 37.0369241, 37.3495866 37.0369085, 37.3496131 37.036906, 37.3495923 37.0367598, 37.3494778 37.0367702, 37.349503 37.0369481))",2,36.0,Pre-1970,True
"POLYGON ((37.4249238 37.0978559, 37.424928 37.0978423, 37.4249491 37.097773, 37.4249691 37.0977077, 37.4250909 37.0977313, 37.4250456 37.0978796, 37.4249238 37.0978559))",1,25.1,Pre-1970,False
"POLYGON ((37.3606749 37.0347014, 37.3606733 37.0346316, 37.3608019 37.0346297, 37.3608035 37.0346995, 37.3606749 37.0347014))",2,28.9,Pre-1970,False
"POLYGON ((37.3846456 37.0807636, 37.3847035 37.0807795, 37.3847379 37.0806995, 37.38468 37.0806837, 37.3846456 37.0807636))",2,31.3,Pre-1970,False
"POLYGON ((37.8567819 37.0114343, 37.856787 37.0113077, 37.8570079 37.0113133, 37.8570028 37.0114399, 37.8567819 37.0114343))",,,N/A,
"POLYGON ((37.3767033 37.0575964, 37.3767031 37.0576294, 37.376755 37.0576296, 37.3767552 37.0575966, 37.3767033 37.0575964))",2,45.3,Pre-1970,False
"POLYGON ((37.3894372 37.0572711, 37.3895184 37.0572311, 37.3894707 37.0571695, 37.3893896 37.0572095, 37.3894372 37.0572711))",1,30.6,Pre-1970,False
"POLYGON ((37.3529507 37.0468468, 37.3528291 37.0468439, 37.3528324 37.0467554, 37.3530013 37.0467594, 37.3529987 37.0468286, 37.3529514 37.0468275, 37.3529507 37.0468468))",1,19.2,Pre-1970,False
"POLYGON ((37.406502 37.0612571, 37.406502 37.0613299, 37.4066509 37.0613299, 37.4066509 37.0612571, 37.406502 37.0612571))",,,N/A,
"POLYGON ((37.3857692 37.0665865, 37.3857665 37.0666228, 37.3857906 37.0666239, 37.3857933 37.0665876, 37.3857692 37.0665865))",1,17.4,Pre-1970,True
"POLYGON ((37.6392476 37.0102771, 37.6392812 37.010263, 37.6393217 37.0103244, 37.6392881 37.0103385, 37.6392476 37.0102771))",,,N/A,
"POLYGON ((37.3699646 37.0863112, 37.3699646 37.0863417, 37.3700112 37.0863724, 37.3700461 37.0863724, 37.3700461 37.0863112, 37.3699646 37.0863112))",,,N/A,
"POLYGON ((36.9040835 36.958838, 36.904033 36.9587777, 36.9041054 36.9587391, 36.9041558 36.9587994, 36.9040835 36.958838))",,,N/A,
"POLYGON ((37.7923156 36.9991971, 37.792486 36.9992378, 37.792522 36.9991416, 37.7923517 36.9991009, 37.7923156 36.9991971))",1,27.5,Pre-1970,True
"POLYGON ((36.86753 36.907349, 36.8675314 36.9074391, 36.8674536 36.9074399, 36.8674522 36.9073498, 36.86753 36.907349))",,,N/A,
"POLYGON ((37.5807533 37.2172302, 37.5807784 37.2173264, 37.5805907 37.2173575, 37.5805656 37.2172612, 37.5807533 37.2172302))",,,N/A,
"POLYGON ((37.4216583 37.0972281, 37.4217004 37.0970871, 37.4218946 37.097124, 37.4218525 37.097265, 37.4216583 37.0972281))",4,101.6,Pre-1970,True
"POLYGON ((37.3876382 37.0894874, 37.387818 37.0894561, 37.387779 37.0893133, 37.3875992 37.0893446, 37.3876382 37.0894874))",5,106.8,Pre-1970,True
"POLYGON ((37.7674685 37.484447, 37.7674142 37.4844572, 37.7674021 37.4844169, 37.7675596 37.4843874, 37.7675795 37.4844539, 37.7674763 37.4844732, 37.7674685 37.484447))",,,N/A,
"POLYGON ((37.3590966 37.0659229, 37.3591612 37.0657229, 37.3594087 37.0657738, 37.3593441 37.0659738, 37.3590966 37.0659229))",5,87.2,Pre-1970,True
"POLYGON ((37.3793365 37.0878761, 37.3793044 37.0878751, 37.3793017 37.0879317, 37.3793338 37.0879327, 37.3793365 37.0878761))",1,39.8,Pre-1970,True
"POLYGON ((37.4095852 37.0729904, 37.4093895 37.073073, 37.4094438 37.0731549, 37.4094549 37.0731502, 37.4096395 37.0730723, 37.4096288 37.0730561, 37.4095852 37.0729904))",1,30.4,1980-1989,False
"POLYGON ((37.5790228 36.7588598, 37.5788559 36.7588774, 37.5788365 36.7587596, 37.5790034 36.758742, 37.5790228 36.7588598))",,,N/A,
