id,Latitude,Longitude,OccupancyClass,StructureType,YearBuilt,NumberOfStories,ReplacementCost
1,36.486,36.3536,RES1,C3L,1971,1,2
2,36.487999,36.353901,RES1,C3L,1971,1,2
3,36.487301,36.353001,RES1,C3L,1971,1,2
4,36.4874,36.352798,RES1,C3L,1971,1,2
5,36.487598,36.352699,RES1,C3L,1971,1,2
6,36.487301,36.3549,RES1,C3L,1971,1,2
7,37.7668,37.057701,RES1,C3L,1971,1,2
8,37.7673,37.056099,RES1,C3L,1971,1,2
9,36.487499,36.354599,RES1,C3L,1971,1,2
10,36.4454,36.354,RES1,C3L,1971,1,2
11,36.450001,36.355598,RES1,C3L,1971,1,2
12,36.450001,36.355701,RES1,C3L,1971,1,2
13,36.3172,36.407799,RES1,C3L,1971,1,2
14,36.934502,36.264999,RES1,C3L,1971,1,2
15,36.9347,36.265499,RES1,C3L,1971,1,2
16,36.936699,36.265202,RES1,C3L,1971,1,2
17,36.360699,36.450298,RES1,C3L,1971,1,2
18,36.361,36.450298,RES1,C3L,1971,1,2
19,36.361301,36.4505,RES1,C3L,1971,1,2
20,36.363998,36.4491,RES1,C3L,1971,1,2
21,36.330502,36.355598,RES1,C3L,1971,1,2
22,36.330299,36.355801,RES1,C3L,1971,1,2
23,36.330898,36.355999,RES1,C3L,1971,1,2
24,36.331299,36.3573,RES1,C3L,1971,1,2
25,36.3311,36.3573,RES1,C3L,1971,1,2
26,36.337799,36.353001,RES1,C3L,1971,1,2
27,36.3382,36.354099,RES1,C3L,1971,1,2
28,36.337502,36.354401,RES1,C3L,1971,1,2
29,36.336601,36.352901,RES1,C3L,1971,1,2
30,36.336399,36.353699,RES1,C3L,1971,1,2
31,36.3349,36.355999,RES1,C3L,1971,1,2
32,36.333599,36.3559,RES1,C3L,1971,1,2
33,36.935398,36.262699,RES1,C3L,1971,1,2
34,36.338001,36.352901,RES1,C3L,1971,1,2
35,36.3377,36.3545,RES1,C3L,1971,1,2
36,36.451801,36.478802,RES1,C3L,1971,1,2
37,36.4515,36.478699,RES1,C3L,1971,1,2
38,36.451401,36.479,RES1,C3L,1971,1,2
39,36.392399,36.406601,RES1,C3L,1971,1,2
40,36.392101,36.406101,RES1,C3L,1971,1,2
41,36.393002,36.4062,RES1,C3L,1971,1,2
42,36.493999,36.3517,RES1,C3L,1971,1,2
43,38.416801,38.310699,RES1,C3L,1971,1,2
44,36.344501,36.550598,RES1,C3L,1971,1,2
45,36.344799,36.5504,RES1,C3L,1971,1,2
46,36.562,36.130001,RES1,C3L,1971,1,2
47,36.561901,36.130001,RES1,C3L,1971,1,2
48,36.561901,36.130199,RES1,C3L,1971,1,2
49,36.5625,36.1339,RES1,C3L,1971,1,2
50,36.562401,36.133999,RES1,C3L,1971,1,2
51,36.562302,36.1343,RES1,C3L,1971,1,2
52,36.562099,36.134399,RES1,C3L,1971,1,2
53,36.562302,36.134201,RES1,C3L,1971,1,2
54,36.562302,36.1339,RES1,C3L,1971,1,2
55,36.562401,36.1339,RES1,C3L,1971,1,2
56,36.562,36.1334,RES1,C3L,1971,1,2
57,36.558998,36.131199,RES1,C3L,1971,1,2
58,36.5592,36.135502,RES1,C3L,1971,1,2
59,36.561699,36.135799,RES1,C3L,1971,1,2
60,36.562,36.136101,RES1,C3L,1971,1,2
61,38.416801,38.311001,RES1,C3L,1971,1,2
62,36.561199,36.134998,RES1,C3L,1971,1,2
63,36.561001,36.1325,RES1,C3L,1971,1,2
64,36.560799,36.132198,RES1,C3L,1971,1,2
65,36.5606,36.130798,RES1,C3L,1971,1,2
66,36.559299,36.135601,RES1,C3L,1971,1,2
67,36.559299,36.135899,RES1,C3L,1971,1,2
68,36.562302,36.1357,RES1,C3L,1971,1,2
69,36.562302,36.135601,RES1,C3L,1971,1,2
70,36.562401,36.134499,RES1,C3L,1971,1,2
