"ID","adm1_en","adm1_tr"
"TUR001","ADANA","ADANA"
"TUR002","ADIYAMAN","ADIYAMAN"
"TUR003","AFYONKARAHISAR","AFYONKARAH-¶SAR"
"TUR004","AGRI","A-PRI"
"TUR005","AMASYA","AMASYA"
"TUR006","ANKARA","ANKARA"
"TUR007","ANTALYA","ANTALYA"
"TUR008","ARTVIN","ARTV-¶N"
"TUR009","AYDIN","AYDIN"
"TUR010","BALIKESIR","BALIKES-¶R"
"TUR011","BILECIK","B-¶LEC-¶K"
"TUR012","BINGOL","B-¶NG+˚L"
"TUR013","BITLIS","B-¶TL-¶S"
"TUR014","BOLU","BOLU"
"TUR015","BURDUR","BURDUR"
"TUR016","BURSA","BURSA"
"TUR017","CANAKKALE","+ÁANAKKALE"
"TUR018","CANKIRI","+ÁANKIRI"
"TUR019","CORUM","+ÁORUM"
"TUR020","DENIZLI","DEN-¶ZL-¶"
"TUR021","DIYARBAKIR","D-¶YARBAKIR"
"TUR022","EDIRNE","ED-¶RNE"
"TUR023","ELAZIG","ELAZI-P"
"TUR024","ERZINCAN","ERZ-¶NCAN"
"TUR025","ERZURUM","ERZURUM"
"TUR026","ESKISEHIR","ESK-¶+PEHIR"
"TUR027","GAZIANTEP","GAZ-¶ANTEP"
"TUR028","GIRESUN","G-¶RESUN"
"TUR029","GUMUSHANE","G+£M+£+PHANE"
"TUR030","HAKKARI","HAKKAR-¶"
"TUR031","HATAY","HATAY"
"TUR032","ISPARTA","ISPARTA"
"TUR033","MERSIN","MERS-¶N"
"TUR034","ISTANBUL","-¶STANBUL"
"TUR035","IZMIR","-¶ZM-¶R"
"TUR036","KARS","KARS"
"TUR037","KASTAMONU","KASTAMONU"
"TUR038","KAYSERI","KAYSER-¶"
"TUR039","KIRKLARELI","KIRKLAREL-¶"
"TUR040","KIRSEHIR","KIR+PEH-¶R"
"TUR041","KOCAELI","KOCAEL-¶"
"TUR042","KONYA","KONYA"
"TUR043","KUTAHYA","K+£TAHYA"
"TUR044","MALATYA","MALATYA"
"TUR045","MANISA","MAN-¶SA"
"TUR046","KAHRAMANMARAS","KAHRAMANMARA+P"
"TUR047","MARDIN","MARD-¶N"
"TUR048","MUGLA","MU-PLA"
"TUR049","MUS","MU+P"
"TUR050","NEVSEHIR","NEV+PEH-¶R"
"TUR051","NIGDE","N-¶-PDE"
"TUR052","ORDU","ORDU"
"TUR053","RIZE","R-¶ZE"
"TUR054","SAKARYA","SAKARYA"
"TUR055","SAMSUN","SAMSUN"
"TUR056","SIIRT","S-¶-¶RT"
"TUR057","SINOP","S-¶NOP"
"TUR058","SIVAS","S-¶VAS"
"TUR059","TEKIRDAG","TEK-¶RDA-P"
"TUR060","TOKAT","TOKAT"
"TUR061","TRABZON","TRABZON"
"TUR062","TUNCELI","TUNCEL-¶"
"TUR063","SANLIURFA","+PANLIURFA"
"TUR064","USAK","U+PAK"
"TUR065","VAN","VAN"
"TUR066","YOZGAT","YOZGAT"
"TUR067","ZONGULDAK","ZONGULDAK"
"TUR068","AKSARAY","AKSARAY"
"TUR069","BAYBURT","BAYBURT"
"TUR070","KARAMAN","KARAMAN"
"TUR071","KIRIKKALE","KIRIKKALE"
"TUR072","BATMAN","BATMAN"
"TUR073","SIRNAK","+PIRNAK"
"TUR074","BARTIN","BARTIN"
"TUR075","ARDAHAN","ARDAHAN"
"TUR076","IGDIR","I-PDIR"
"TUR077","YALOVA","YALOVA"
"TUR078","KARABUK","KARAB+£K"
"TUR079","KILIS","K-¶L-¶S"
"TUR080","OSMANIYE","OSMAN-¶YE"
"TUR081","DUZCE","D+£ZCE"
